District Number,DistrictName,School Number,Name,"Level (E=Elementary, M=Middle, H=High)",Region,Rural Designation (2019),"Year on Accountability Clock (as of July 1, 2019)",Total_Percent_Points,Final_Rating _2019,"Year on Accountability Clock (as of December 11, 2019)",Notes (2010-2019)
2810,Center 26 JT,1412,Haskin Elementary School,E,SOUTHWEST REGION,Small Rural,,44.2,Improvement Plan: Meets 95% Participation,,2010 Deferred to district rating
2810,Center 26 JT,1416,Skoglund Middle School,M,SOUTHWEST REGION,Small Rural,,56.9,Performance Plan: Meets 95% Participation,,
2810,Center 26 JT,51,The Academic Recovery Center of San Luis Valley,H,SOUTHWEST REGION,Small Rural,,71.18,AEC: Performance: Year 1 Exemption for Academic Data,,
8001,Charter School Institute,657,Academy of Arts and Knowledge Elementary,E,CHARTER SCHOOL INSTITUTE,Not Rural,,67.1,Performance Plan: Meets 95% Participation,,2014 Deferred to district finance penalty
8001,Charter School Institute,15,Academy of Charter Schools,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,74.2,Performance Plan: Low Participation,,
8001,Charter School Institute,75,Animas High School,H,CHARTER SCHOOL INSTITUTE,Not Rural,,62.2,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,493,Axis International Academy,E,CHARTER SCHOOL INSTITUTE,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
8001,Charter School Institute,1279,Caprock Academy,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,70.3,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,2067,Colorado Early College Fort Collins,MH,CHARTER SCHOOL INSTITUTE,Not Rural,,78.8,Performance Plan: Low Participation,,"2012 New school, deferred to district rating"
8001,Charter School Institute,2196,Colorado Early Colleges - Parker,H,CHARTER SCHOOL INSTITUTE,Not Rural,,87.2,Performance Plan: Low Participation,,"2014 New school, deferred to district rating; 2018 Approved request to reconsider"
8001,Charter School Institute,1633,Colorado Early Colleges Aurora,H,CHARTER SCHOOL INSTITUTE,Not Rural,,43.5,Improvement Plan: Low Participation,,"2017 New school, deferred to district rating"
8001,Charter School Institute,149,Colorado Early Colleges Fort Collins West,M,CHARTER SCHOOL INSTITUTE,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
8001,Charter School Institute,1387,Colorado Early Colleges Windsor,MH,CHARTER SCHOOL INSTITUTE,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
8001,Charter School Institute,3326,Colorado International Language Academy,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,50.9,Improvement Plan: Low Participation,,"2013 New school, deferred to district rating; 2019 Approved request to reconsider"
8001,Charter School Institute,1505,Colorado Military Academy,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,45.7,Priority Improvement Plan: Decreased due to Participation,Year 1 of Priority Improvement or Turnaround,"2017 New school, deferred to district rating"
8001,Charter School Institute,1791,Colorado Springs Charter Academy,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,62.2,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,1795,Colorado Springs Early Colleges,H,CHARTER SCHOOL INSTITUTE,Not Rural,,69.3,Performance Plan: Low Participation,,
8001,Charter School Institute,1882,Community Leadership Academy,E,CHARTER SCHOOL INSTITUTE,Not Rural,,85.6,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,5431,Coperni 2,E,CHARTER SCHOOL INSTITUTE,Not Rural,,32.5,Turnaround Plan: Low Participation,Year 1 of Priority Improvement or Turnaround,"2018 New school, deferred to district rating"
8001,Charter School Institute,1371,Coperni 3,E,CHARTER SCHOOL INSTITUTE,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
8001,Charter School Institute,2035,Crown Pointe Charter Academy,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,64.1,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,2837,Early College of Arvada,MH,CHARTER SCHOOL INSTITUTE,Not Rural,,53.5,Performance Plan: Meets 95% Participation,,2012 Deferred to district finance penalty; 2016 Approved request to reconsider
8001,CHARTER SCHOOL INSTITUTE,35,FRONTIER CHARTER ACADEMY,EM,,,,61.8,School Code Closed 2019-20,,
8001,CHARTER SCHOOL INSTITUTE,3399,GLOBAL VILLAGE ACADEMY - FORT COLLINS,E,,,,66.5,School Code Closed 2019-20,,"2013 New school, deferred to district rating; 2017 Deferred to district rating"
8001,Charter School Institute,3439,Global Village Academy - Northglenn,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,68.7,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,3393,Golden View Classical Academy,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,78.5,Performance Plan: Low Participation,,
8001,Charter School Institute,655,High Point Academy,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,49.4,Improvement Plan: Low Participation,,"2012, 2014 Denied request to reconsider"
8001,CHARTER SCHOOL INSTITUTE,4277,INDIAN PEAKS CHARTER SCHOOL,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,65,School Code Closed 2019-20,,"2016 Insufficient state evidence, deferred to district rating"
8001,Charter School Institute,4403,James Irwin Charter Academy,E,CHARTER SCHOOL INSTITUTE,Not Rural,,72.8,Performance Plan: Low Participation,,"2013 New school, deferred to district rating"
8001,Charter School Institute,5147,Launch High School,H,CHARTER SCHOOL INSTITUTE,Not Rural,,51.7,Improvement Plan: Low Participation,,"2016 New school, deferred to district rating; 2018 Approved request to reconsider"
8001,Charter School Institute,5957,Montessori del Mundo Charter School,E,CHARTER SCHOOL INSTITUTE,Not Rural,Year 1,43.5,Improvement Plan: Meets 95% Participation,,"2013, 2014 New school, deferred to district rating; 2016 Denied request to reconsider"
8001,Charter School Institute,5845,Monument View Montessori Charter School,E,CHARTER SCHOOL INSTITUTE,Not Rural,Year 1,,Insufficient State Data,Year 1 Hold on Priority Improvement or Turnaround,"2017 New school, deferred to district rating; 2018, 2019 Insufficient state evidence, deferred to district rating"
8001,Charter School Institute,5453,Mountain Middle School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,79.6,Performance Plan: Meets 95% Participation,,2013 Deferred to district rating
8001,Charter School Institute,5851,Mountain Song Community School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,53.8,Performance Plan: Low Participation,,"2013 New school, deferred to district rating"
8001,Charter School Institute,5423,Mountain Village Montessori Charter School,E,CHARTER SCHOOL INSTITUTE,Not Rural,,71.7,Performance Plan: Low Participation,,"2016 New school, deferred to district rating"
8001,Charter School Institute,6219,New America School - Lowry,H,CHARTER SCHOOL INSTITUTE,Not Rural,,54.48,AEC: Improvement Plan,,
8001,Charter School Institute,6266,New Legacy Charter School,H,CHARTER SCHOOL INSTITUTE,Not Rural,,51.49,AEC: Improvement Plan,,
8001,Charter School Institute,7278,Ricardo Flores Magon Academy,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,37.2,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
8001,Charter School Institute,7512,Ross Montessori School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,61.1,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,8061,Salida Montessori Charter School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,65.3,Performance Plan: Meets 95% Participation,,2016 Denied request to reconsider; 2018 Approved request to reconsider
8001,Charter School Institute,653,Stone Creek School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,57.8,Performance Plan: Meets 95% Participation,,"2012, 2013 Deferred to district finance penalty, 2014 Deferred to district rating"
8001,Charter School Institute,6914,The Pinnacle Charter School,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,56.2,Performance Plan: Meets 95% Participation,,
8001,Charter School Institute,8825,Thomas MacLaren State Charter School,EMH,CHARTER SCHOOL INSTITUTE,Not Rural,,79.3,Performance Plan: Low Participation,,
8001,Charter School Institute,8821,Two Rivers Community School,EM,CHARTER SCHOOL INSTITUTE,Not Rural,,64.7,Performance Plan: Meets 95% Participation,,"2014 New school, deferred to district rating"
8001,Charter School Institute,9037,Victory Preparatory Academy High State Charter Sch,H,CHARTER SCHOOL INSTITUTE,Not Rural,,70.1,Performance Plan: Meets 95% Participation,,"2013 New school, deferred to district rating"
8001,Charter School Institute,9040,Victory Preparatory Academy Middle State Charter S,M,CHARTER SCHOOL INSTITUTE,Not Rural,,65.8,Performance Plan: Meets 95% Participation,,"2013 New school, deferred to district rating"
2560,Cheraw 31,1546,Cheraw School,EMH,SOUTHEAST REGION,Small Rural,,59.9,Performance Plan: Low Participation,,
130,Cherry Creek 5,102,Altitude Elementary School,E,METRO REGION,Not Rural,,74.5,Performance Plan: Meets 95% Participation,,"2018 New school, deferred to district rating"
130,Cherry Creek 5,242,Antelope Ridge Elementary School,E,METRO REGION,Not Rural,,60.1,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,348,Arrowhead Elementary School,E,METRO REGION,Not Rural,,48.1,Improvement Plan: Meets 95% Participation,,
130,Cherry Creek 5,442,Aspen Crossing Elementary School,E,METRO REGION,Not Rural,,62.8,Performance Plan: Meets 95% Participation,,2018 Denied request to reconsider
130,Cherry Creek 5,714,Belleview Elementary School,E,METRO REGION,Not Rural,,89.4,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,4448,Black Forest Hills Elementary School,E,METRO REGION,Not Rural,,57.1,Performance Plan: Low Participation,,"2012 New school, deferred to district rating"
130,Cherry Creek 5,1155,Buffalo Trail Elementary School,E,METRO REGION,Not Rural,,66.5,Performance Plan: Low Participation,,
130,Cherry Creek 5,1566,Campus Middle School,M,METRO REGION,Not Rural,,85,Performance Plan: Low Participation,,
130,Cherry Creek 5,1273,Canyon Creek Elementary School,E,METRO REGION,Not Rural,,66.1,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,1510,Challenge School,EM,METRO REGION,Not Rural,,78.1,Performance Plan: Low Participation,,
130,Cherry Creek 5,1551,Cherokee Trail High School,H,METRO REGION,Not Rural,,72.3,Performance Plan: Low Participation,,2016 Approved request to reconsider
130,Cherry Creek 5,1571,Cherry Creek Charter Academy,EM,METRO REGION,Not Rural,,83.5,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,1429,Cherry Creek Elevation,H,METRO REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
130,Cherry Creek 5,1570,Cherry Creek High School,H,METRO REGION,Not Rural,,78,Performance Plan: Low Participation,,
130,Cherry Creek 5,1574,Cherry Hills Village Elementary School,E,METRO REGION,Not Rural,,78.3,Performance Plan: Low Participation,,
130,Cherry Creek 5,1614,Cimarron Elementary School,E,METRO REGION,Not Rural,,70.3,Performance Plan: Low Participation,,
130,Cherry Creek 5,188,Colorado Skies Academy,M,METRO REGION,Not Rural,,,Performance Plan,,"2019 New school, deferred to district rating"
130,Cherry Creek 5,1916,Cottonwood Creek Elementary School,E,METRO REGION,Not Rural,,80.1,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,243,Coyote Hills Elementary School,E,METRO REGION,Not Rural,,70.2,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,1970,Creekside Elementary School,E,METRO REGION,Not Rural,,63.8,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,2094,Dakota Valley Elementary School,E,METRO REGION,Not Rural,,57.9,Performance Plan: Low Participation,,
130,Cherry Creek 5,2292,Dry Creek Elementary School,E,METRO REGION,Not Rural,,62,Performance Plan: Low Participation,,
130,Cherry Creek 5,2357,Eaglecrest High School,H,METRO REGION,Not Rural,,62.3,Performance Plan: Low Participation,,
130,Cherry Creek 5,2428,Eastridge Community Elementary School,E,METRO REGION,Not Rural,,41.9,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,2017 Approved request to reconsider; 2019 Denied request to reconsider
130,Cherry Creek 5,2653,Endeavor Academy,H,METRO REGION,Not Rural,Year 1,45.79,AEC: Priority Improvement Plan,Year 2 of Priority Improvement or Turnaround,2016 Approved for retroactive AEC status
130,Cherry Creek 5,2897,Falcon Creek Middle School,M,METRO REGION,Not Rural,,67,Performance Plan: Low Participation,,
130,Cherry Creek 5,16,Fox Hollow Elementary School,E,METRO REGION,Not Rural,,55.8,Performance Plan: Low Participation,,2018 Approved request to reconsider
130,Cherry Creek 5,3030,Fox Ridge Middle School,M,METRO REGION,Not Rural,,66.1,Performance Plan: Low Participation,,
130,Cherry Creek 5,3589,Grandview High School,H,METRO REGION,Not Rural,,73.4,Performance Plan: Low Participation,,2018 Approved request to reconsider
130,Cherry Creek 5,3648,Greenwood Elementary School,E,METRO REGION,Not Rural,,68.6,Performance Plan: Low Participation,,
130,Cherry Creek 5,3926,Heritage Elementary School,E,METRO REGION,Not Rural,,70.7,Performance Plan: Low Participation,,
130,Cherry Creek 5,4189,Heritage Heights Academy,EM,METRO REGION,Not Rural,,75.6,Performance Plan: Low Participation,,"2016 New school, deferred to district rating"
130,Cherry Creek 5,1572,High Plains Elementary School,E,METRO REGION,Not Rural,,64.6,Performance Plan: Low Participation,,
130,Cherry Creek 5,3988,Highline Community Elementary School,E,METRO REGION,Not Rural,,41.4,Priority Improvement Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,"2017, 2019 Denied request to reconsider"
130,Cherry Creek 5,4062,Holly Hills Elementary School,E,METRO REGION,Not Rural,,50.5,Improvement Plan: Meets 95% Participation,,
130,Cherry Creek 5,4078,Homestead Elementary School,E,METRO REGION,Not Rural,,78.1,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,4100,Horizon Middle School,M,METRO REGION,Not Rural,,47.8,Improvement Plan: Low Participation,,
130,Cherry Creek 5,4276,Independence Elementary School,E,METRO REGION,Not Rural,,45.9,Improvement Plan: Low Participation,,"2014, 2016 Approved request to reconsider"
130,Cherry Creek 5,4280,Indian Ridge Elementary School,E,METRO REGION,Not Rural,,73.9,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,7514,Infinity Middle School,M,METRO REGION,Not Rural,,64.4,Performance Plan: Low Participation,,"2017 New school, deferred to district rating; 2018 Denied request to reconsider"
130,Cherry Creek 5,4975,Laredo Middle School,M,METRO REGION,Not Rural,,58.8,Performance Plan: Low Participation,,
130,Cherry Creek 5,18,Liberty Middle School,M,METRO REGION,Not Rural,,61.7,Performance Plan: Low Participation,,
130,Cherry Creek 5,5744,Meadow Point Elementary School,E,METRO REGION,Not Rural,,48.5,Improvement Plan: Meets 95% Participation,,
130,Cherry Creek 5,5934,Mission Viejo Elementary School,E,METRO REGION,Not Rural,,66.5,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,6225,Mountain Vista Elementary School,E,METRO REGION,Not Rural,,72.6,Performance Plan: Meets 95% Participation,,"2014 New school, deferred to district rating"
130,Cherry Creek 5,6625,Overland High School,H,METRO REGION,Not Rural,,54.4,Performance Plan: Low Participation,,2016 Partially approved request to reconsider
130,Cherry Creek 5,6820,Peakview Elementary School,E,METRO REGION,Not Rural,,74.4,Performance Plan: Low Participation,,
130,Cherry Creek 5,6955,Pine Ridge Elementary School,E,METRO REGION,Not Rural,,78.4,Performance Plan: Meets 95% Participation,,"2010 New school, deferred to district rating"
130,Cherry Creek 5,7102,Polton Community Elementary School,E,METRO REGION,Not Rural,,52.2,Improvement Plan: Low Participation,,2019 Denied request to reconsider
130,Cherry Creek 5,7116,Ponderosa Elementary School,E,METRO REGION,Not Rural,Year 1,52.2,Improvement Plan: Meets 95% Participation,,2019 Denied request to reconsider
130,Cherry Creek 5,7158,Prairie Middle School,M,METRO REGION,Not Rural,Year 1,44.7,Improvement Plan: Low Participation,,
130,Cherry Creek 5,7277,Red Hawk Ridge Elementary School,E,METRO REGION,Not Rural,,46.8,Improvement Plan: Low Participation,,
130,Cherry Creek 5,7476,Rolling Hills Elementary School,E,METRO REGION,Not Rural,,71.8,Performance Plan: Low Participation,,
130,Cherry Creek 5,7559,Sagebrush Elementary School,E,METRO REGION,Not Rural,Year 1,53.4,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,141,Sky Vista Middle School,M,METRO REGION,Not Rural,,56.8,Performance Plan: Low Participation,,
130,Cherry Creek 5,8020,Smoky Hill High School,H,METRO REGION,Not Rural,,61.8,Performance Plan: Low Participation,,2016 Approved request to reconsider
130,Cherry Creek 5,8380,Summit Elementary School,E,METRO REGION,Not Rural,,56.9,Performance Plan: Meets 95% Participation,,2017 Approved request to reconsider
130,Cherry Creek 5,8394,Sunrise Elementary School,E,METRO REGION,Not Rural,,47.5,Improvement Plan: Meets 95% Participation,,2014 Approved request to reconsider
130,Cherry Creek 5,8848,Thunder Ridge Middle School,M,METRO REGION,Not Rural,,60.9,Performance Plan: Low Participation,,
130,Cherry Creek 5,8850,Timberline Elementary School,E,METRO REGION,Not Rural,,63.5,Performance Plan: Low Participation,,
130,Cherry Creek 5,8887,Trails West Elementary School,E,METRO REGION,Not Rural,,71,Performance Plan: Low Participation,,
130,Cherry Creek 5,9108,Village East Community Elementary School,E,METRO REGION,Not Rural,,55.3,Performance Plan: Meets 95% Participation,,
130,Cherry Creek 5,9200,Walnut Hills Community Elementary School,E,METRO REGION,Not Rural,,77.2,Performance Plan: Low Participation,,
130,Cherry Creek 5,1568,West Middle School,M,METRO REGION,Not Rural,,71.5,Performance Plan: Low Participation,,
130,Cherry Creek 5,9624,Willow Creek Elementary School,E,METRO REGION,Not Rural,,79,Performance Plan: Meets 95% Participation,,
520,Cheyenne County Re-5,1608,Cheyenne Wells Elementary School,E,NORTHEAST REGION,Small Rural,,55,Performance Plan: Low Participation,,
520,Cheyenne County Re-5,1612,Cheyenne Wells Junior/High School,MH,NORTHEAST REGION,Small Rural,,54.8,Performance Plan: Low Participation,,
1020,Cheyenne Mountain 12,1592,Broadmoor Elementary School,E,PIKES PEAK REGION,Not Rural,,91.1,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,1586,Cheyenne Mountain Elementary School,E,PIKES PEAK REGION,Not Rural,,91,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,1590,Cheyenne Mountain High School,H,PIKES PEAK REGION,Not Rural,,85,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,1588,Cheyenne Mountain Junior High School,M,PIKES PEAK REGION,Not Rural,,79.7,Performance Plan: Low Participation,,
1020,Cheyenne Mountain 12,3482,Gold Camp Elementary School,E,PIKES PEAK REGION,Not Rural,,83.8,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,6953,Pinon Valley Elementary School,E,PIKES PEAK REGION,Not Rural,,92.6,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,1604,Skyway Park Elementary School,E,PIKES PEAK REGION,Not Rural,,69.3,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,1582,The Vanguard School (Elementary),E,PIKES PEAK REGION,Not Rural,,70,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,9057,The Vanguard School (High),H,PIKES PEAK REGION,Not Rural,,94.5,Performance Plan: Meets 95% Participation,,
1020,Cheyenne Mountain 12,9051,The Vanguard School (Middle),M,PIKES PEAK REGION,Not Rural,,69.6,Performance Plan: Low Participation,,
540,Clear Creek RE-1,4212,Carlson Elementary School,E,METRO REGION,Small Rural,Year 1,57.5,Performance Plan: Meets 95% Participation,,2011 Denied request to reconsider
540,Clear Creek RE-1,4216,Clear Creek High School,H,METRO REGION,Small Rural,,64.7,Performance Plan: Meets 95% Participation,,2018 Denied request to reconsider
540,Clear Creek RE-1,1660,Clear Creek Middle School,M,METRO REGION,Small Rural,Year 1,53.1,Performance Plan: Meets 95% Participation,,2016 Denied request to reconsider
540,Clear Creek RE-1,3385,Georgetown Community School,E,METRO REGION,Small Rural,,67.5,Performance Plan: Low Participation,,
540,Clear Creek RE-1,4700,King-Murphy Elementary School,E,METRO REGION,Small Rural,,60,Performance Plan: Meets 95% Participation,,
9175,Colorado River BOCES,6134,Yampah Mountain School,MH,NORTHWEST REGION,Not Rural,,68.17,AEC: Performance: Year 1 Exemption for Academic Data,,2017-18 Changed district
9000,Colorado School for the Deaf and Blind,1924,Colorado School for the Deaf and Blind,EMH,PIKES PEAK REGION,Not Rural,,55.47,AEC: Improvement Plan,,
1010,Colorado Springs 11,517,Academy for Advanced and Creative Learning,EM,PIKES PEAK REGION,Not Rural,,77.7,Performance Plan: Low Participation,,"2010 New school, 2011 Approved request to reconsider"
1010,Colorado Springs 11,269,Achieve Online,MH,PIKES PEAK REGION,Not Rural,,71.23,AEC: Performance Plan,,"2010  Insufficient state evidence, deferred to district rating"
1010,Colorado Springs 11,3890,Adams Elementary School,E,PIKES PEAK REGION,Not Rural,,49.7,Improvement Plan: Meets 95% Participation,,
1010,Colorado Springs 11,452,Audubon Elementary School,E,PIKES PEAK REGION,Not Rural,,55,Performance Plan: Low Participation,,
1010,Colorado Springs 11,1032,Bristol Elementary School,E,PIKES PEAK REGION,Not Rural,,81.8,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,1126,Buena Vista Elementary School,EM,PIKES PEAK REGION,Not Rural,,82.5,Performance Plan: Low Participation,,
1010,Colorado Springs 11,1340,Carver Elementary School,E,PIKES PEAK REGION,Not Rural,,67.2,Performance Plan: Low Participation,,
1010,Colorado Springs 11,1613,Chipeta Elementary School,E,PIKES PEAK REGION,Not Rural,,84.6,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,1616,CIVA Charter Academy,H,PIKES PEAK REGION,Not Rural,,74.6,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,1798,Columbia Elementary School,E,PIKES PEAK REGION,Not Rural,,82.5,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,1885,Community Prep Charter School,H,PIKES PEAK REGION,Not Rural,,77.94,AEC: Performance Plan,,2014 Approved request to reconsider
1010,Colorado Springs 11,1870,Coronado High School,H,PIKES PEAK REGION,Not Rural,,62.4,Performance Plan: Meets 95% Participation,,2016 Denied request to reconsider
1010,Colorado Springs 11,2202,Doherty High School,H,PIKES PEAK REGION,Not Rural,,52.4,Performance Plan: Meets 95% Participation,,2019 Approved request to reconsider
1010,Colorado Springs 11,5146,Eastlake High School of Colorado Springs,H,PIKES PEAK REGION,Not Rural,,62.98,AEC: Performance Plan,,
1010,Colorado Springs 11,2510,Edison Elementary School,E,PIKES PEAK REGION,Not Rural,,80.1,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,3175,Freedom Elementary School,E,PIKES PEAK REGION,Not Rural,,64.6,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,3218,Fremont Elementary School,E,PIKES PEAK REGION,Not Rural,,48.7,Improvement Plan: Meets 95% Participation,,
1010,Colorado Springs 11,3360,Galileo School of Math and Science,M,PIKES PEAK REGION,Not Rural,Year 2,38.3,Priority Improvement Plan: Meets 95% Participation,Year 3 of Priority Improvement or Turnaround,
1010,Colorado Springs 11,3470,Globe Charter School,E,PIKES PEAK REGION,Not Rural,,74.8,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,3592,Grant Elementary School,E,PIKES PEAK REGION,Not Rural,,70.1,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,3920,Henry Elementary School,E,PIKES PEAK REGION,Not Rural,,51.3,Improvement Plan: Meets 95% Participation,,
1010,Colorado Springs 11,4070,Holmes Middle School,M,PIKES PEAK REGION,Not Rural,,61.4,Performance Plan: Meets 95% Participation,,2016 Denied request to reconsider
1010,Colorado Springs 11,4138,Howbert Elementary School,E,PIKES PEAK REGION,Not Rural,,45.4,Improvement Plan: Meets 95% Participation,,
1010,Colorado Springs 11,8457,Jack Swigert Aerospace Academy,M,PIKES PEAK REGION,Not Rural,Year 2,53.4,Performance Plan: Meets 95% Participation,Year 2 On Watch,
1010,Colorado Springs 11,4358,Jackson Elementary School,E,PIKES PEAK REGION,Not Rural,,71.9,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,4424,Jenkins Middle School,M,PIKES PEAK REGION,Not Rural,,71.2,Performance Plan: Low Participation,,
1010,Colorado Springs 11,4530,Keller Elementary School,E,PIKES PEAK REGION,Not Rural,,62.2,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,5604,King Elementary School,E,PIKES PEAK REGION,Not Rural,,62.1,Performance Plan: Meets 95% Participation,,2017 Approved request to reconsider
1010,Colorado Springs 11,5404,Madison Elementary School,E,PIKES PEAK REGION,Not Rural,,65,Performance Plan: Meets 95% Participation,,2017 Approved request to reconsider
1010,Colorado Springs 11,4090,Mann Middle School,M,PIKES PEAK REGION,Not Rural,,55.5,Performance Plan: Low Participation,,
1010,Colorado Springs 11,5610,Martinez Elementary School,E,PIKES PEAK REGION,Not Rural,,56.9,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,1625,McAuliffe Elementary,E,PIKES PEAK REGION,Not Rural,,51.9,Improvement Plan: Meets 95% Participation,,2016 Approved request to reconsider; 2019 Denied request to reconsider
1010,Colorado Springs 11,5878,Midland Elementary School,E,PIKES PEAK REGION,Not Rural,,25,Turnaround Plan: Meets 95% Participation,Year 1 of Priority Improvement or Turnaround,
1010,Colorado Springs 11,5948,Mitchell High School,H,PIKES PEAK REGION,Not Rural,Year 3,39.8,Priority Improvement Plan: Low Participation,Year 4 of Priority Improvement or Turnaround,
1010,Colorado Springs 11,5988,Monroe Elementary School,E,PIKES PEAK REGION,Not Rural,,57,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,2528,Nikola Tesla Education Opportunity Center,MH,PIKES PEAK REGION,Not Rural,,58.56,AEC: Improvement Plan,,
1010,Colorado Springs 11,6306,North Middle School,M,PIKES PEAK REGION,Not Rural,,56.4,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,2400,Odyssey Early College and Career Options,H,PIKES PEAK REGION,Not Rural,,72.2,Performance Plan: Meets 95% Participation,,"2013 New school, deferred to district rating, 2016 Denied request to reconsider"
1010,Colorado Springs 11,6680,Palmer High School,H,PIKES PEAK REGION,Not Rural,,58.9,Performance Plan: Meets 95% Participation,,2016 Denied request to reconsider
1010,Colorado Springs 11,6856,Penrose Elementary School,E,PIKES PEAK REGION,Not Rural,,80.4,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,7228,Queen Palmer Elementary School,E,PIKES PEAK REGION,Not Rural,,50,Improvement Plan: Meets 95% Participation,,2014 Approved request to reconsider
1010,Colorado Springs 11,9618,Rogers Elementary School,E,PIKES PEAK REGION,Not Rural,,54.1,Performance Plan: Meets 95% Participation,,2016 Approved request to reconsider
1010,Colorado Springs 11,7482,Roosevelt Charter Academy,E,PIKES PEAK REGION,Not Rural,,56.3,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,7513,Rudy Elementary School,E,PIKES PEAK REGION,Not Rural,,72,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,7523,Russell Middle School,M,PIKES PEAK REGION,Not Rural,,59.3,Performance Plan: Low Participation,,
1010,Colorado Springs 11,7556,Sabin Middle School,M,PIKES PEAK REGION,Not Rural,,48,Improvement Plan: Meets 95% Participation,,
1010,Colorado Springs 11,7705,Scott Elementary School,E,PIKES PEAK REGION,Not Rural,,73.8,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,8246,Steele Elementary School,E,PIKES PEAK REGION,Not Rural,,79.6,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,8346,Stratton Elementary School,E,PIKES PEAK REGION,Not Rural,,66.8,Performance Plan: Meets 95% Participation,,
1010,Colorado Springs 11,8466,Taylor Elementary School,E,PIKES PEAK REGION,Not Rural,,63.4,Performance Plan: Meets 95% Participation,,2010 Approved request to reconsider
1010,Colorado Springs 11,871,The Bijou School,H,PIKES PEAK REGION,Not Rural,,69.27,AEC: Performance Plan,,
