CAD Incident Number,Response Date,CAD Problem,Latitude,Longitude,Report Date,RMS Call Nature
BCSO200904-031969,9/4/2020,THEFTS-Theft,40.085024,-105.347100,9/4/2020,BURG RES
BCSO200904-032023,9/4/2020,BURGLS-Burglary,40.094738,-105.327422,9/4/2020,BURG RES
SUPD200906-032250,9/6/2020,THEFTS-Theft,39.946397,-105.153974,9/6/2020,BURG RES
BCSO200910-032786,9/10/2020,BURGLS-Burglary,40.006827,-105.501549,9/10/2020,BURG RES
SUPD200914-033236,9/14/2020,BURGLS-Burglary,39.925197,-105.160552,9/14/2020,BURG RES
SUPD200916-033555,9/16/2020,BURGLS-Burglary,39.956493,-105.176444,9/16/2020,BURG RES
BCSO200919-033948,9/19/2020,BURGLS-Burglary,40.059573,-105.207723,9/19/2020,BURG RES
BCSO200919-033976,9/19/2020,THEFTS-Theft,40.108363,-105.159653,9/19/2020,BURG RES
BCSO200923-034556,9/23/2020,THEFTS-Theft,40.007057,-105.198968,9/23/2020,BURG RES
SUPD200924-034680,9/24/2020,BURGLS-Burglary,39.930224,-105.143093,9/24/2020,BURG RES
SUPD200928-035195,9/28/2020,THEFTS-Theft,39.950700,-105.160456,9/28/2020,BURG RES
BCSO201002-035582,10/2/2020,BURGLS-Burglary,40.129177,-105.102596,10/2/2020,BURG RES
BCSO201002-035613,10/2/2020,THEFTS-Theft,40.001062,-105.369600,10/2/2020,BURG RES
BCSO201004-035915,10/4/2020,CRTRES-Criminal Trespass,40.019262,-105.178349,10/4/2020,BURG RES
BCSO201005-036043,10/5/2020,BURGLS-Burglary,40.029858,-105.178465,10/5/2020,BURG RES
BCSO201007-036270,10/7/2020,THEFTS-Theft,40.065530,-105.180215,10/7/2020,BURG RES
BCSO201010-036691,10/10/2020,BURGLS-Burglary,40.022226,-105.178421,10/10/2020,BURG RES
BCSO201010-036701,10/10/2020,BURGLS-Burglary,40.018027,-105.178268,10/10/2020,BURG RES
BCSO201011-036805,10/11/2020,THEFTS-Theft,40.009548,-105.207346,10/11/2020,BURG RES
SUPD201013-037063,10/13/2020,BURGLS-Burglary,39.926876,-105.148006,10/13/2020,BURG RES
SUPD201014-037222,10/14/2020,CRTRES-Criminal Trespass,39.939783,-105.159766,10/14/2020,BURG RES
BCSO201015-037434,10/15/2020,BURGLS-Burglary,40.066756,-105.199919,10/15/2020,BURG RES
BCSO201016-037469,10/16/2020,THEFTS-Theft,40.053251,-105.312287,10/16/2020,BURG RES
BCSO201016-037525,10/16/2020,BURGLS-Burglary,40.003624,-105.209885,10/16/2020,BURG RES
BCSO201017-037608,10/17/2020,BURGLS-Burglary,40.000513,-105.212785,10/17/2020,BURG RES
BCSO201019-037929,10/19/2020,BURGLS-Burglary,40.232291,-105.168420,10/19/2020,BURG RES
SUPD201020-038087,10/20/2020,BURGLS-Burglary,39.942975,-105.155893,10/20/2020,BURG RES
SUPD201030-039067,10/30/2020,BURGLS-Burglary,39.933028,-105.144412,10/30/2020,BURG RES
BCSO201101-039423,11/1/2020,CRMISS-Criminal Mischief,40.029858,-105.178465,11/1/2020,BURG RES
BCSO201110-040507,11/10/2020,BURGLS-Burglary,40.020918,-105.105316,11/10/2020,BURG RES
BCSO201114-040932,11/14/2020,BURGLS-Burglary,40.006075,-105.191344,11/14/2020,BURG RES
SUPD201114-040953,11/14/2020,BURGLS-Burglary,39.926396,-105.162977,11/14/2020,BURG RES
SUPD201116-041120,11/16/2020,BURGLS-Burglary,39.926396,-105.162977,11/16/2020,BURG RES
BCSO201116-041176,11/16/2020,BURGLS-Burglary,40.000129,-105.169129,11/16/2020,BURG RES
SUPD201121-041728,11/21/2020,BURGLS-Burglary,39.925397,-105.164449,11/21/2020,BURG RES
SUPD201121-041733,11/21/2020,CRTRES-Criminal Trespass,39.934031,-105.144080,11/21/2020,BURG RES
BCSO201122-041875,11/22/2020,THEFTS-Theft,40.065893,-105.180214,11/22/2020,BURG RES
SUPD201127-042403,11/27/2020,BURGLS-Burglary,39.932367,-105.138226,11/27/2020,BURG RES
SUPD201127-042404,11/27/2020,BURGLS-Burglary,39.933767,-105.143560,11/27/2020,BURG RES
SUPD201127-042426,11/27/2020,BURGLS-Burglary,39.931853,-105.145512,11/27/2020,BURG RES
SUPD201202-042923,12/2/2020,BURGLS-Burglary,39.925354,-105.159027,12/2/2020,BURG RES
BCSO201207-043477,12/7/2020,FOLLOS-Follow-Up,40.054028,-105.075393,12/6/2020,BURG RES
BCSO201209-043723,12/9/2020,BURGLS-Burglary,40.023906,-105.224004,12/9/2020,BURG RES
BCSO201211-044028,12/11/2020,BURGLS-Burglary,40.029236,-105.225388,12/11/2020,BURG RES
SUPD201220-044891,12/20/2020,CRTRES-Criminal Trespass,39.931150,-105.146084,12/20/2020,BURG RES
BCSO201222-045131,12/22/2020,BURGLS-Burglary,40.238018,-105.083614,12/22/2020,BURG RES
BCSO201223-045247,12/23/2020,THEFTS-Theft,40.067986,-105.179776,12/23/2020,BURG RES
BCSO201224-045301,12/24/2020,BURGLS-Burglary,40.006845,-105.209687,12/24/2020,BURG RES
BCSO201224-045325,12/24/2020,BURGLS-Burglary,40.130678,-105.117141,12/24/2020,BURG RES
BCSO201224-045327,12/24/2020,BURGLS-Burglary,40.103355,-105.302169,12/24/2020,BURG RES
LYPD201225-045383,12/25/2020,BURGLS-Burglary,40.224640,-105.268504,12/25/2020,BURG RES
BCSO201226-045467,12/26/2020,BURGLS-Burglary,40.014687,-105.205588,12/26/2020,BURG RES
BCSO201230-045899,12/30/2020,THEFTS-Theft,40.032793,-105.318867,12/30/2020,BURG RES
BCSO201230-045956,12/30/2020,BURGLS-Burglary,40.116223,-105.125607,12/30/2020,BURG RES
BCSO201231-045986,12/31/2020,FOLLOS-Follow-Up,40.008641,-105.210549,12/31/2020,BURG RES
BCSO200619-021181,6/19/2020,HARASS-Harassment,39.948337,-105.561498,6/19/2020,COMP CRIME
BCSO200214-006336,2/14/2020,NARCOS-Drug Violation,40.034394,-105.233819,2/14/2020,CONTRABAND
BCSO200228-008008,2/28/2020,NARCOS-Drug Violation,40.034394,-105.233819,2/28/2020,CONTRABAND
BCSO201113-040801,11/13/2020,NARCOS-Drug Violation,40.034394,-105.233819,11/12/2020,CONTRABAND
BCSO201215-044428,12/15/2020,FOLLOS-Follow-Up,40.034394,-105.233819,12/15/2020,CONTRABAND
BCSO201221-045083,12/21/2020,NARCOS-Drug Violation,40.034394,-105.233819,12/21/2020,CONTRABAND
BCSO200118-002388,1/18/2020,HARASS-Harassment,40.023906,-105.224004,1/18/2020,CRM IMP
BCSO200203-004730,2/3/2020,FRAUDS-Fraud,40.061478,-105.176230,2/3/2020,CRM IMP
BCSO200317-010448,3/17/2020,FRAUDS-Fraud,40.058171,-105.179574,3/17/2020,CRM IMP
BCSO200323-011045,3/23/2020,HARASS-Harassment,40.054704,-105.263352,3/23/2020,CRM IMP
BCSO200328-011501,3/28/2020,FRAUDS-Fraud,40.014513,-105.450120,3/28/2020,CRM IMP
SUPD200403-012019,4/3/2020,THEFTS-Theft,39.959875,-105.172024,4/3/2020,CRM IMP
BCSO200518-016739,5/18/2020,FRAUDS-Fraud,40.097073,-105.153204,5/18/2020,CRM IMP
BCSO200614-020559,6/14/2020,FOLLOS-Follow-Up,40.052913,-105.301623,6/9/2020,CRM IMP
SUPD200701-022727,7/1/2020,INACCS-Injury/Rollover Acciden,39.921764,-105.159533,7/1/2020,CRM IMP
BCSO200812-028772,8/12/2020,FRAUDS-Fraud,40.051027,-105.258575,8/12/2020,CRM IMP
BCSO200813-028992,8/13/2020,FRAUDS-Fraud,40.050529,-105.483045,8/13/2020,CRM IMP
SUPD200815-029274,8/15/2020,FRAUDS-Fraud,39.926876,-105.148006,8/15/2020,CRM IMP
BCSO200815-029367,8/15/2020,FRAUDS-Fraud,40.095096,-105.250138,8/15/2020,CRM IMP
BCSO200926-034934,9/26/2020,FRAUDS-Fraud,40.055423,-105.234881,9/17/2020,CRM IMP
BCSO201002-035600,10/2/2020,FRAUDS-Fraud,40.061362,-105.211669,10/2/2020,CRM IMP
BCSO201103-039624,11/3/2020,TRSTOS-Traffic Stop,40.087359,-105.131459,11/3/2020,CRM IMP
BCSO201120-041708,11/20/2020,FRAUDS-Fraud,40.088609,-105.259014,11/20/2020,CRM IMP
SUPD201208-043612,12/8/2020,FRAUDS-Fraud,39.954789,-105.175749,12/8/2020,CRM IMP
BCSO200705-023427,7/5/2020,DUIS-Driving Under Influence,40.098832,-105.168359,7/5/2020,CRMIS DV
BCSO200625-021977,6/25/2020,CRMISS-Criminal Mischief,40.023085,-105.319347,6/25/2020,CRMIS FEL
BCSO200627-022246,6/27/2020,TRESPS-Trespassing,40.188704,-105.171505,6/27/2020,CRMIS FEL
BCSO200704-023199,7/4/2020,CRMISS-Criminal Mischief,40.246488,-105.535032,7/4/2020,CRMIS FEL
BCSO200723-026103,7/23/2020,CRMISS-Criminal Mischief,40.152799,-105.467129,7/23/2020,CRMIS FEL
BCSO200819-029801,8/19/2020,CRMISS-Criminal Mischief,40.116155,-105.206878,8/19/2020,CRMIS FEL
SUPD200825-030583,8/25/2020,CRMISS-Criminal Mischief,39.930224,-105.143093,8/25/2020,CRMIS FEL
SUPD200906-032308,9/6/2020,DISTUS-Disturbance,39.957627,-105.170155,9/6/2020,CRMIS FEL
BCSO201001-035538,10/1/2020,HRACCS-Hit and Run,40.040108,-105.135826,10/2/2020,CRMIS FEL
BCSO201023-038399,10/23/2020,CRMISS-Criminal Mischief,40.023906,-105.224004,10/23/2020,CRMIS FEL
BCSO201111-040649,11/11/2020,CRMISS-Criminal Mischief,39.934127,-105.272337,11/11/2020,CRMIS FEL
SUPD201125-042253,11/25/2020,THEFTS-Theft,39.928928,-105.142588,11/25/2020,CRMIS FEL
SUPD201127-042355,11/27/2020,THEFTS-Theft,39.939444,-105.145357,11/27/2020,CRMIS FEL
BCSO201207-043472,12/7/2020,CRMISS-Criminal Mischief,40.004065,-105.376086,12/7/2020,CRMIS FEL
BCSO201208-043582,12/8/2020,CRMISS-Criminal Mischief,40.014637,-105.156756,12/8/2020,CRMIS FEL
BCSO200103-000383,1/3/2020,THEFTS-Theft,39.981993,-105.463612,1/3/2020,CRMIS MIS
BCSO200104-000451,1/4/2020,CRMISS-Criminal Mischief,40.032299,-105.204590,1/4/2020,CRMIS MIS
BCSO200107-000865,1/7/2020,CRMISS-Criminal Mischief,40.029236,-105.225388,1/7/2020,CRMIS MIS
BCSO200114-001820,1/14/2020,CRMISS-Criminal Mischief,40.129391,-105.102590,1/14/2020,CRMIS MIS
BCSO200122-002783,1/22/2020,CRMISS-Criminal Mischief,40.203286,-105.142368,1/22/2020,CRMIS MIS
BCSO200126-003430,1/26/2020,CRMISS-Criminal Mischief,40.159819,-105.068677,1/26/2020,CRMIS MIS
BCSO200128-003652,1/28/2020,CRMISS-Criminal Mischief,40.101695,-105.143498,1/4/2020,CRMIS MIS
BCSO200208-005403,2/8/2020,CRMISS-Criminal Mischief,40.101619,-105.165387,2/8/2020,CRMIS MIS
BCSO200212-005963,2/12/2020,CRMISS-Criminal Mischief,40.101619,-105.165387,2/12/2020,CRMIS MIS
BCSO200213-006119,2/13/2020,CRMISS-Criminal Mischief,40.101619,-105.165387,2/13/2020,CRMIS MIS
BCSO200220-007014,2/20/2020,CRMISS-Criminal Mischief,40.101619,-105.165387,2/20/2020,CRMIS MIS
BCSO200222-007300,2/22/2020,CRMISS-Criminal Mischief,40.101619,-105.165387,2/22/2020,CRMIS MIS
BCSO200303-008566,3/3/2020,CRMISS-Criminal Mischief,40.101670,-105.216525,3/3/2020,CRMIS MIS
BCSO200304-008668,3/4/2020,CRMISS-Criminal Mischief,40.101695,-105.143498,3/4/2020,CRMIS MIS
BCSO200311-009733,3/11/2020,DISTUS-Disturbance,40.014664,-105.197968,3/11/2020,CRMIS MIS
SUPD200314-010099,3/14/2020,DISTUS-Disturbance,39.932521,-105.157929,3/14/2020,CRMIS MIS
BCSO200401-011809,4/1/2020,CRMISS-Criminal Mischief,40.023906,-105.224004,4/1/2020,CRMIS MIS
SUPD200403-011978,4/3/2020,CRMISS-Criminal Mischief,39.949030,-105.164443,4/3/2020,CRMIS MIS
BCSO200404-012061,4/4/2020,CRMISS-Criminal Mischief,40.079095,-105.301233,4/4/2020,CRMIS MIS
BCSO200419-013546,4/19/2020,CRMISS-Criminal Mischief,40.210138,-105.522713,4/19/2020,CRMIS MIS
BCSO200422-013785,4/22/2020,CRMISS-Criminal Mischief,40.029236,-105.225388,4/22/2020,CRMIS MIS
BCSO200422-013788,4/22/2020,BURGLS-Burglary,40.219643,-105.527703,4/22/2020,CRMIS MIS
BCSO200422-013792,4/22/2020,CRMISS-Criminal Mischief,40.143783,-105.149960,4/22/2020,CRMIS MIS
BCSO200430-014662,4/30/2020,CRMISS-Criminal Mischief,40.040087,-105.149340,4/30/2020,CRMIS MIS
BCSO200509-015683,5/9/2020,CRMISS-Criminal Mischief,40.218984,-105.111960,5/9/2020,CRMIS MIS
BCSO200512-015983,5/12/2020,CRMISS-Criminal Mischief,40.018179,-105.301713,5/12/2020,CRMIS MIS
BCSO200529-018429,5/29/2020,CRMISS-Criminal Mischief,40.090701,-105.262946,5/29/2020,CRMIS MIS
BCSO200601-018897,6/1/2020,CRMISS-Criminal Mischief,40.014705,-105.206797,6/1/2020,CRMIS MIS
BCSO200602-018974,6/2/2020,CRMISS-Criminal Mischief,39.936815,-105.350286,6/2/2020,CRMIS MIS
BCSO200603-019133,6/3/2020,CRMISS-Criminal Mischief,40.028184,-105.390043,6/3/2020,CRMIS MIS
SUPD200604-019343,6/4/2020,CRMISS-Criminal Mischief,39.954887,-105.163349,6/4/2020,CRMIS MIS
LYPD200605-019479,6/5/2020,CRMISS-Criminal Mischief,40.222473,-105.270031,6/5/2020,CRMIS MIS
BCSO200610-020097,6/10/2020,CRMISS-Criminal Mischief,40.099129,-105.169128,6/10/2020,CRMIS MIS
BCSO200612-020272,6/12/2020,CRMISS-Criminal Mischief,40.061028,-105.275299,6/12/2020,CRMIS MIS
BCSO200627-022192,6/27/2020,CRMISS-Criminal Mischief,40.158802,-105.087244,6/27/2020,CRMIS MIS
BCSO200628-022375,6/28/2020,FOLLOS-Follow-Up,40.023906,-105.224004,6/28/2020,CRMIS MIS
LYPD200629-022480,6/29/2020,CRMISS-Criminal Mischief,40.214792,-105.263763,6/29/2020,CRMIS MIS
BCSO200701-022734,7/1/2020,BURGLS-Burglary,40.014677,-105.204790,7/1/2020,CRMIS MIS
BCSO200704-023195,7/4/2020,CRMISS-Criminal Mischief,39.921597,-105.395337,7/4/2020,CRMIS MIS
LYPD200706-023583,7/6/2020,CRMISS-Criminal Mischief,40.233633,-105.279440,7/6/2020,CRMIS MIS
BCSO200707-023620,7/7/2020,FOLLOS-Follow-Up,40.023906,-105.224004,6/30/2020,CRMIS MIS
BCSO200711-024175,7/11/2020,CRMISS-Criminal Mischief,40.205745,-105.104415,7/11/2020,CRMIS MIS
BCSO200712-024392,7/12/2020,ASSAUS-Assault,40.091698,-105.259101,7/12/2020,CRMIS MIS
LYPD200713-024567,7/13/2020,CRMISS-Criminal Mischief,40.221358,-105.263749,7/13/2020,CRMIS MIS
BCSO200716-024919,7/16/2020,CRMISS-Criminal Mischief,40.014657,-105.140449,7/16/2020,CRMIS MIS
LYPD200721-025809,7/21/2020,BURGLS-Burglary,40.219740,-105.271703,7/21/2020,CRMIS MIS
SUPD200724-026160,7/24/2020,CRMISS-Criminal Mischief,39.953212,-105.176375,7/24/2020,CRMIS MIS
BCSO200731-027144,7/31/2020,CRMISS-Criminal Mischief,40.151924,-105.467953,7/31/2020,CRMIS MIS
BCSO200803-027574,8/3/2020,CRMISS-Criminal Mischief,40.212409,-105.244422,8/3/2020,CRMIS MIS
BCSO200803-027589,8/3/2020,TRESPS-Trespassing,40.183925,-105.252594,8/3/2020,CRMIS MIS
LYPD200810-028573,8/10/2020,CRMISS-Criminal Mischief,40.219706,-105.270031,8/10/2020,CRMIS MIS
BCSO200811-028647,8/11/2020,CRMISS-Criminal Mischief,39.968824,-105.490423,8/11/2020,CRMIS MIS
BCSO200816-029402,8/16/2020,THEFTS-Theft,40.055259,-105.303807,8/16/2020,CRMIS MIS
SUPD200821-030098,8/21/2020,CRMISS-Criminal Mischief,39.945245,-105.160953,8/21/2020,CRMIS MIS
BCSO200824-030511,8/24/2020,SUSPIS-Suspicious,40.101696,-105.177952,8/24/2020,CRMIS MIS
BCSO200905-032179,9/5/2020,CRTRES-Criminal Trespass,40.060850,-105.207781,9/5/2020,CRMIS MIS
LYPD200909-032616,9/9/2020,BURGLS-Burglary,40.224659,-105.269896,9/9/2020,CRMIS MIS
BCSO200918-033887,9/18/2020,CRMISS-Criminal Mischief,40.041364,-105.300756,9/18/2020,CRMIS MIS
BCSO200920-034138,9/20/2020,CRMISS-Criminal Mischief,40.045831,-105.255873,9/20/2020,CRMIS MIS
BCSO200921-034215,9/21/2020,CRMISS-Criminal Mischief,40.061925,-105.124846,9/21/2020,CRMIS MIS
BCSO200929-035230,9/29/2020,CRTRES-Criminal Trespass,40.108266,-105.085423,9/29/2020,CRMIS MIS
BCSO200929-035283,9/29/2020,CRMISS-Criminal Mischief,40.092548,-105.253535,9/29/2020,CRMIS MIS
BCSO201006-036195,10/6/2020,DISTUS-Disturbance,40.079904,-105.279537,10/6/2020,CRMIS MIS
BCSO201013-037121,10/13/2020,CRMISS-Criminal Mischief,40.003622,-105.210598,10/13/2020,CRMIS MIS
BCSO201027-038752,10/27/2020,CRMISS-Criminal Mischief,40.052897,-105.178315,10/27/2020,CRMIS MIS
BCSO201027-038779,10/27/2020,THEFTS-Theft,40.035968,-105.325035,10/27/2020,CRMIS MIS
BCSO201029-038945,10/29/2020,CRMISS-Criminal Mischief,40.063223,-105.320533,10/29/2020,CRMIS MIS
BCSO201029-038945,10/29/2020,CRMISS-Criminal Mischief,40.063223,-105.320533,10/30/2020,CRMIS MIS
BCSO201029-038945,10/29/2020,CRMISS-Criminal Mischief,40.063223,-105.320533,10/30/2020,CRMIS MIS
BCSO201108-040299,11/8/2020,DISTUS-Disturbance,40.101619,-105.165647,11/8/2020,CRMIS MIS
BCSO201108-040298,11/8/2020,CRMISS-Criminal Mischief,40.000068,-105.281937,11/8/2020,CRMIS MIS
BCSO201117-041295,11/17/2020,CRMISS-Criminal Mischief,40.152394,-105.146916,11/17/2020,CRMIS MIS
BCSO201118-041408,11/18/2020,CRMISS-Criminal Mischief,40.227629,-105.296154,11/18/2020,CRMIS MIS
BCSO201120-041602,11/20/2020,CRMISS-Criminal Mischief,40.061064,-105.316768,11/20/2020,CRMIS MIS
BCSO201125-042233,11/25/2020,CRMISS-Criminal Mischief,40.017252,-105.320936,11/25/2020,CRMIS MIS
BCSO201128-042479,11/28/2020,CRMISS-Criminal Mischief,40.010404,-105.326482,11/28/2020,CRMIS MIS
BCSO201209-043692,12/9/2020,CRMISS-Criminal Mischief,40.039138,-105.354984,12/9/2020,CRMIS MIS
BCSO201224-045311,12/24/2020,CRMISS-Criminal Mischief,40.099294,-105.302583,12/24/2020,CRMIS MIS
BCSO201227-045544,12/27/2020,FOLLOS-Follow-Up,40.073553,-105.328978,12/27/2020,CRMIS MIS
SUPD201227-045582,12/27/2020,CRMISS-Criminal Mischief,39.934275,-105.140711,12/27/2020,CRMIS MIS
BCSO200106-000790,1/6/2020,TRESPS-Trespassing,39.989458,-105.498598,1/6/2020,CRMTRE MIS
BCSO200125-003363,1/25/2020,CRMISS-Criminal Mischief,40.052437,-105.186480,1/25/2020,CRMTRE MIS
BCSO200202-004566,2/2/2020,CRMISS-Criminal Mischief,40.132311,-105.293540,2/2/2020,CRMTRE MIS
BCSO200221-007094,2/21/2020,TRESPS-Trespassing,40.044867,-105.312227,2/21/2020,CRMTRE MIS
BCSO200222-007270,2/22/2020,TRESPS-Trespassing,40.032299,-105.204590,2/22/2020,CRMTRE MIS
SUPD200319-010704,3/19/2020,ASSISS-Assist,39.957628,-105.170238,3/19/2020,CRMTRE MIS
BCSO200321-010886,3/21/2020,TRESPS-Trespassing,39.986814,-105.174869,3/21/2020,CRMTRE MIS
BCSO200324-011082,3/24/2020,CRMISS-Criminal Mischief,40.043316,-105.178367,3/24/2020,CRMTRE MIS
BCSO200326-011289,3/26/2020,CRTRES-Criminal Trespass,40.122910,-105.183225,3/26/2020,CRMTRE MIS
BCSO200427-014267,4/27/2020,TRESPS-Trespassing,40.029236,-105.225388,4/27/2020,CRMTRE MIS
BCSO200503-015032,5/3/2020,TRESPS-Trespassing,40.032852,-105.214866,5/3/2020,CRMTRE MIS
BCSO200505-015242,5/5/2020,HARASS-Harassment,40.029236,-105.225388,5/5/2020,CRMTRE MIS
BCSO200508-015546,5/8/2020,TRESPS-Trespassing,40.003622,-105.210598,5/8/2020,CRMTRE MIS
BCSO200514-016226,5/14/2020,SUSPIS-Suspicious,39.931602,-105.425266,5/14/2020,CRMTRE MIS
BCSO200515-016294,5/15/2020,TRESPS-Trespassing,40.157877,-105.334963,5/15/2020,CRMTRE MIS
BCSO200516-016385,5/16/2020,ALINTS-Intrusion alarm,40.159698,-105.076962,5/16/2020,CRMTRE MIS
BCSO200519-016850,5/19/2020,TRSTOS-Traffic Stop,40.159699,-105.075360,5/19/2020,CRMTRE MIS
BCSO200521-017215,5/21/2020,TRESPS-Trespassing,40.159699,-105.075360,5/20/2020,CRMTRE MIS
BCSO200524-017626,5/24/2020,CRMISS-Criminal Mischief,40.167061,-105.154486,5/24/2020,CRMTRE MIS
BCSO200525-017870,5/25/2020,TRESPS-Trespassing,40.159699,-105.075360,5/25/2020,CRMTRE MIS
BCSO200527-018135,5/27/2020,TRESPS-Trespassing,40.159699,-105.075360,5/27/2020,CRMTRE MIS
BCSO200529-018466,5/29/2020,TRESPS-Trespassing,40.159699,-105.075360,5/29/2020,CRMTRE MIS
BCSO200602-019067,6/2/2020,TRESPS-Trespassing,40.159819,-105.068677,6/2/2020,CRMTRE MIS
BCSO200604-019386,6/4/2020,DISTUS-Disturbance,40.006458,-105.212506,6/4/2020,CRMTRE MIS
BCSO200605-019530,6/5/2020,TRESPS-Trespassing,40.159699,-105.075360,6/5/2020,CRMTRE MIS
BCSO200612-020266,6/12/2020,CRTRES-Criminal Trespass,40.106299,-105.162105,6/12/2020,CRMTRE MIS
BCSO200615-020734,6/15/2020,TRESPS-Trespassing,40.159699,-105.075360,6/15/2020,CRMTRE MIS
BCSO200624-021929,6/24/2020,TRESPS-Trespassing,40.159699,-105.075360,6/24/2020,CRMTRE MIS
BCSO200703-023075,7/3/2020,TRESPS-Trespassing,40.000111,-105.181213,7/3/2020,CRMTRE MIS
BCSO200704-023327,7/4/2020,BURGLS-Burglary,40.029236,-105.225388,7/4/2020,CRMTRE MIS
BCSO200708-023819,7/8/2020,TRESPS-Trespassing,40.003640,-105.204370,7/8/2020,CRMTRE MIS
BCSO200712-024294,7/12/2020,TRSTOS-Traffic Stop,40.159699,-105.075360,7/12/2020,CRMTRE MIS
BCSO200714-024735,7/14/2020,TRESPS-Trespassing,40.159699,-105.075360,7/14/2020,CRMTRE MIS
SUPD200715-024760,7/15/2020,SUSPIS-Suspicious,39.955924,-105.169715,7/15/2020,CRMTRE MIS
BCSO200717-025201,7/17/2020,DISTUS-Disturbance,40.003640,-105.204370,7/17/2020,CRMTRE MIS
BCSO200718-025299,7/18/2020,TRESPS-Trespassing,40.159699,-105.075360,7/18/2020,CRMTRE MIS
BCSO200720-025601,7/20/2020,TRESPS-Trespassing,40.000125,-105.154795,7/20/2020,CRMTRE MIS
BCSO200720-025665,7/20/2020,TRESPS-Trespassing,40.232282,-105.102385,7/20/2020,CRMTRE MIS
BCSO200802-027351,8/2/2020,TRESPS-Trespassing,40.145234,-105.272991,8/2/2020,CRMTRE MIS
BCSO200820-030027,8/20/2020,TRESPS-Trespassing,40.159699,-105.075360,8/20/2020,CRMTRE MIS
BCSO200828-031037,8/28/2020,THEFTS-Theft,40.029236,-105.225388,8/28/2020,CRMTRE MIS
BCSO200905-032178,9/5/2020,CRMISS-Criminal Mischief,40.058287,-105.263353,9/5/2020,CRMTRE MIS
BCSO200913-033131,9/13/2020,THEFTS-Theft,40.156534,-105.074369,9/13/2020,CRMTRE MIS
BCSO200918-033926,9/18/2020,TRESPS-Trespassing,39.977089,-105.485437,9/18/2020,CRMTRE MIS
BCSO200923-034520,9/23/2020,TRESPS-Trespassing,40.152374,-105.214079,9/23/2020,CRMTRE MIS
BCSO200923-034569,9/23/2020,TRESPS-Trespassing,40.029175,-105.211359,9/23/2020,CRMTRE MIS
BCSO201008-036458,10/8/2020,TRESPS-Trespassing,40.053427,-105.354021,10/8/2020,CRMTRE MIS
BCSO201010-036786,10/10/2020,TRESPS-Trespassing,39.986537,-105.195822,10/10/2020,CRMTRE MIS
LAPD201019-017053,10/19/2020,TRESPS-Trespassing,40.047083,-105.102647,10/19/2020,CRMTRE MIS
BCSO201107-040112,11/7/2020,TRESPS-Trespassing,40.203191,-105.110550,11/7/2020,CRMTRE MIS
BCSO201107-040170,11/7/2020,CRMISS-Criminal Mischief,40.050500,-105.372401,11/7/2020,CRMTRE MIS
BCSO201110-040468,11/10/2020,TRESPS-Trespassing,40.257575,-105.102576,11/10/2020,CRMTRE MIS
BCSO201112-040678,11/12/2020,TRESPS-Trespassing,39.965620,-105.525119,11/12/2020,CRMTRE MIS
BCSO201113-040828,11/13/2020,TRESPS-Trespassing,40.159720,-105.081629,11/12/2020,CRMTRE MIS
BCSO201114-040961,11/14/2020,TRESPS-Trespassing,40.052330,-105.244302,11/14/2020,CRMTRE MIS
BCSO201118-041455,11/18/2020,ASSAUS-Assault,40.049196,-105.398007,11/18/2020,CRMTRE MIS
BCSO201123-041971,11/23/2020,CRTRES-Criminal Trespass,40.098582,-105.344507,11/23/2020,CRMTRE MIS
BCSO200119-002438,1/19/2020,BURGLS-Burglary,40.066974,-105.200911,1/19/2020,CRMTRR FEL
SUPD200212-006006,2/12/2020,HARASS-Harassment,39.952072,-105.159637,2/12/2020,CRMTRR FEL
BCSO200225-007600,2/25/2020,BURGLS-Burglary,40.101619,-105.165387,2/25/2020,CRMTRR FEL
BCSO200226-007691,2/26/2020,TRESPS-Trespassing,40.044867,-105.312227,2/26/2020,CRMTRR FEL
BCSO200330-011652,3/30/2020,FOLLOS-Follow-Up,40.012588,-105.305672,3/30/2020,CRMTRR FEL
BCSO200405-012149,4/5/2020,SUSPIS-Suspicious,40.022891,-105.381573,4/5/2020,CRMTRR FEL
BCSO200412-012941,4/12/2020,ASSISS-Assist,40.012857,-105.301930,4/12/2020,CRMTRR FEL
BCSO200414-013095,4/14/2020,TRESPS-Trespassing,39.985957,-105.225976,4/14/2020,CRMTRR FEL
BCSO200730-026953,7/30/2020,BURGLS-Burglary,40.004916,-105.206146,7/30/2020,CRMTRR FEL
SUPD200730-026998,7/30/2020,SOLICS-Soliciting Complaint,39.946278,-105.156272,7/30/2020,CRMTRR FEL
BCSO200808-028303,8/8/2020,TRESPS-Trespassing,40.043923,-105.252657,8/8/2020,CRMTRR FEL
BCSO200818-029707,8/18/2020,HARASS-Harassment,40.210330,-105.249114,8/18/2020,CRMTRR FEL
BCSO200821-030081,8/21/2020,THEFTS-Theft,40.043980,-105.252658,8/21/2020,CRMTRR FEL
BCSO200822-030176,8/22/2020,BURGLS-Burglary,40.067003,-105.198874,8/22/2020,CRMTRR FEL
BCSO200903-031822,9/3/2020,CRTRES-Criminal Trespass,40.014677,-105.204168,9/3/2020,CRMTRR FEL
SUPD200913-033127,9/13/2020,CRTRES-Criminal Trespass,39.930822,-105.145052,9/13/2020,CRMTRR FEL
